Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Soft computing model using cluster-PCA in port model for throughput forecasting","Soft Computing","","24","18","10.1007/s00500-020-04786-y","Liupeng JiangHe JiangHarry Haoxiang Wang","2020","http://link.springer.com/article/10.1007/s00500-020-04786-y","Article"
"Weather forecasting based on hybrid decomposition methods and adaptive deep learning strategy","Neural Computing and Applications","","35","15","10.1007/s00521-023-08288-4","Khouloud ZouaidiaMohamed Saber RaisSalim Ghanemi","2023","http://link.springer.com/article/10.1007/s00521-023-08288-4","Article"
"Forecasting traffic flows in irregular regions with multi-graph convolutional network and gated recurrent unit","Frontiers of Information Technology & Electronic Engineering","","22","9","10.1631/FITEE.2000243","Dewen Seng 僧德文Fanshun Lv 吕凡顺Ziyi Liang 梁紫怡Xiaoying Shi 史晓颖Qiming Fang 方启明","2021","http://link.springer.com/article/10.1631/FITEE.2000243","Article"
"Coupling the Causal Inference and Informer Networks for Short-term Forecasting in Irrigation Water Usage","Water Resources Management","","37","1","10.1007/s11269-022-03381-0","Liangfeng ZouYuanyuan ZhaYuqing DiaoChi TangWenquan GuDongguo Shao","2023","http://link.springer.com/article/10.1007/s11269-022-03381-0","Article"
"Multiplicative Holts Winter Model for Trend Analysis and Forecasting of COVID-19 Spread in India","SN Computer Science","","2","5","10.1007/s42979-021-00808-0","H. SwapnarekhaHimansu Sekhar BeheraJanmenjoy NayakBighnaraj NaikP. Suresh Kumar","2021","http://link.springer.com/article/10.1007/s42979-021-00808-0","Article"
"Mean shift densification of scarce data sets in short-term electric power load forecasting for special days","Electrical Engineering","","99","3","10.1007/s00202-016-0424-z","Liviane RegoJean SumailiVladimiro MirandaCarlos FrancêsMarcelino SilvaÁdamo Santana","2017","http://link.springer.com/article/10.1007/s00202-016-0424-z","Article"
"TSFuse: automated feature construction for multiple time series data","Machine Learning","","","","10.1007/s10994-021-06096-2","Arne De BrabandereTim Op De BeéckKilian HendrickxWannes MeertJesse Davis","2022","http://link.springer.com/article/10.1007/s10994-021-06096-2","Article"
"Long-term traffic forecasting based on adaptive graph cross strided convolution network","Applied Intelligence","","53","4","10.1007/s10489-022-03739-2","Zhao LiYong ZhangDa GuoXu ZhouXing WangLin Zhu","2023","http://link.springer.com/article/10.1007/s10489-022-03739-2","Article"
"A novel hybrid model based on Hodrick–Prescott filter and support vector regression algorithm for optimizing stock market price prediction","Journal of Big Data","","4","1","10.1186/s40537-017-0092-5","Meryem OuahilalMohammed El MohajirMohamed ChahhouBadr Eddine El Mohajir","2017","http://link.springer.com/article/10.1186/s40537-017-0092-5","Article"
"Generation hybrid forecasting for frequency-modulation hydropower station based on improved EEMD and ANN adaptive switching","Electrical Engineering","","104","5","10.1007/s00202-022-01526-3","Shuai ZhangShi-Jun ChenGuang-wen MaWei-bin HuangBin Li","2022","http://link.springer.com/article/10.1007/s00202-022-01526-3","Article"
"Regional application of generalized regression neural network in ionosphere spatio-temporal modeling and forecasting","GPS Solutions","","27","1","10.1007/s10291-022-01389-y","Seyyed Reza Ghaffari-RazinAsghar RastboodNavid Hooshangi","2023","http://link.springer.com/article/10.1007/s10291-022-01389-y","Article"
"A Demand Forecasting Method Based on Stochastic Frontier Analysis and Model Average: An Application in Air Travel Demand Forecasting","Journal of Systems Science and Complexity","","32","2","10.1007/s11424-018-7093-0","Xinyu ZhangYafei ZhengShouyang Wang","2019","http://link.springer.com/article/10.1007/s11424-018-7093-0","Article"
"Medium-term forecasts for salinity rates and groundwater levels","Modeling Earth Systems and Environment","","7","1","10.1007/s40808-020-00901-y","Ihsan A. AbuamraAshraf Y. A. MaghariHussam F. Abushawish","2021","http://link.springer.com/article/10.1007/s40808-020-00901-y","Article"
"A New CIGWO-Elman Hybrid Model for Power Load Forecasting","Journal of Electrical Engineering & Technology","","17","2","10.1007/s42835-021-00928-w","Jie HaoChangsheng ZhuXiuting Guo","2022","http://link.springer.com/article/10.1007/s42835-021-00928-w","Article"
"Modeling of rainfall time series using NAR and ARIMA model over western Himalaya, India","Arabian Journal of Geosciences","","15","23","10.1007/s12517-022-10994-7","Deepa RawatPradeep MishraSoumik RayHimasha Harshani Fernando WarnakulasooriyaSarswati Prakash SatiGaurav MishraHussein AlkattanMostafa Abotaleb","2022","http://link.springer.com/article/10.1007/s12517-022-10994-7","Article"
"Near-term, national solar capacity factor forecasts aided by trend attributes and artificial intelligence","International Journal of Energy and Environmental Engineering","","13","4","10.1007/s40095-022-00488-3","David A. Wood","2022","http://link.springer.com/article/10.1007/s40095-022-00488-3","Article"
"Integrated use of regional weather forecasting and crop modeling for water stress assessment on rice yield","Scientific Reports","","12","1","10.1038/s41598-022-19750-z","T. RajasivaranjanAavudai AnandhiN. R. PatelMasoud IrannezhadC. V. SrinivasKumar VeluswamyU. SurendranP. Raja","2022","http://link.springer.com/article/10.1038/s41598-022-19750-z","Article"
